H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod     2049 dzeit  1.63E+00 agej  2.5912E+07
 # t9 =    3.435E-01 rho =    3.740E+03
 # densn  2.02779E+04
 # densp  9.89188E+01
 # densa  3.68043E+20
 # total_energy_flux_[erg/(g*s)]  0.00000E+00
  473    50. 118.   1   4.00163E-13  SN118
  474    50. 119.   1   1.16550E-13  SN119
  475    50. 120.   1   5.25739E-13  SN120
  476    50. 121.   1   4.81620E-20  SN121
  477    50. 122.   1   4.31122E-14  SN122
  478    50. 123.   1   1.10448E-22  SN123
  479    50. 124.   1   6.17654E-14  SN124
  480    50. 125.   1   2.62102E-23  SN125
  481    50. 126.   1   3.77208E-22  SN126
  482    50. 127.   1   1.00000E-99  SN127
  483    50. 128.   1   1.00000E-99  SN128
  484    50. 129.   1   1.00000E-99  SN129
  485    50. 130.   1   1.00000E-99  SN130
  486    51. 112.   1   1.00000E-99  SB112
  487    51. 113.   1   1.00000E-99  SB113
  488    51. 114.   1   1.00000E-99  SB114
  489    51. 115.   1   1.00000E-99  SB115
  490    51. 116.   1   1.00000E-99  SB116
  491    51. 117.   1   1.00000E-99  SB117
  492    51. 118.   1   1.00000E-99  SB118
  493    51. 119.   1   1.00000E-99  SB119
  494    51. 120.   1   1.00000E-99  SB120
  495    51. 121.   1   3.79985E-14  SB121
  496    51. 122.   1   6.37928E-21  SB122
  497    51. 123.   1   5.69126E-15  SB123
  498    51. 124.   1   1.09253E-23  SB124
  499    51. 125.   1   8.57121E-19  SB125
  500    51. 126.   1   5.00098E-27  SB126
  501    51. 127.   1   1.00000E-99  SB127
  502    51. 128.   1   1.00000E-99  SB128
  503    51. 129.   1   1.00000E-99  SB129
  504    51. 130.   1   1.00000E-99  SB130
  505    51. 131.   1   1.00000E-99  SB131
  506    51. 132.   1   1.00000E-99  SB132
  507    51. 133.   1   1.00000E-99  SB133
  508    52. 114.   1   1.00000E-99  TE114
  509    52. 115.   1   1.00000E-99  TE115
  510    52. 116.   1   1.00000E-99  TE116
  511    52. 117.   1   1.00000E-99  TE117
  512    52. 118.   1   1.00000E-99  TE118
  513    52. 119.   1   1.00000E-99  TE119
  514    52. 120.   1   2.25980E-19  TE120
  515    52. 121.   1   1.01354E-23  TE121
  516    52. 122.   1   6.67998E-14  TE122
  517    52. 123.   1   2.30110E-14  TE123
  518    52. 124.   1   1.37960E-13  TE124
  519    52. 125.   1   4.77341E-14  TE125
  520    52. 126.   1   3.05146E-13  TE126
