C Maria Lugaro gave this file to Falk Herwig around 2003. It originates in Gallino's group in Torino. 
C
C ISOT.       Ni(AG89)      Xi(AG89)no      Ni(GR91)      Xi(GR91)                 these columns show the      
C these data are decreased by the factor 1.017 as input data in impterem       errors on the solar abundance 
C long-lived isotopes (*) are given at the formation of the solar system         and that on the neutron
C i.e. 4.55e9 yr ago                                                 atom %     capture cross section (these
C                                                                              (last should probably be updated) 
C  Marco   October 2005                                               AG89      sigperc sigperc*Ni MACSperc
D pd104     1.550D-01     4.078D-10	1.550d-01     4.077d-10      11.14	  6.6  1.023D-02  10.03
D pd105     3.100D-01     8.233D-10	3.100d-01     8.233d-10      22.33	  6.6  2.046D-02  5.00
D pd106     3.800D-01     1.019D-09	3.800d-01     1.019d-09      27.33	  6.6  2.508D-02  9.92
D pd108     3.680D-01     1.005D-09	3.680d-01     1.005d-09      26.46	  6.6  2.429D-02  9.85
D pd110     1.630D-01     4.535D-10	1.630d-01     4.535d-10      11.72	  6.6  1.076D-02  13.70
D ag107     2.520D-01     6.821D-10	2.520d-01     6.820d-10      51.839	  2.9  7.308D-03  3.00
D ag109     2.340D-01     6.452D-10	2.340d-01     6.452d-10      48.161	  2.9  6.786D-03  2.95
D cd106     2.010D-02     5.389D-11	2.010d-02     5.389d-11       1.25	  6.5  1.306D-03  9.91
D cd108     1.430D-02     3.907D-11	1.430d-02     3.906d-11       0.89	  6.5  9.295D-04  17.20
D cd110     2.010D-01     5.593D-10	2.010d-01     5.593d-10      12.49	  6.5  1.307D-02  12.20
D cd111     2.060D-01     5.784D-10	2.060d-01     5.784d-10      12.80	  6.5  1.339D-02  11.76
D cd112     3.880D-01     1.099D-09	3.880d-01     1.099d-09      24.13	  6.5  2.522D-02  12.88
D cd113     1.970D-01     5.631D-10	1.970d-01     5.631d-10      12.22	  6.5  1.281D-02  10.99
D cd114     4.630D-01     1.335D-09	4.630d-01     1.335d-09      27.73	  6.5  3.010D-02  15.53
D cd116     1.210D-01     3.550D-10	1.210d-01     3.550d-10       7.49	  6.5  7.865D-03  12.77
D in113     7.900D-03     2.258D-11	7.900d-03     2.258d-11       4.3	  6.4  5.056D-04  8.89
D in115     1.760D-01     5.120D-10	1.760d-01     5.120d-10      95.7	  6.4  1.126D-02  9.96
D sn112     3.720D-02     1.054D-10	3.720d-02     1.054d-10       0.973	  9.4  3.497D-03  23.76
D sn114     2.520D-02     7.267D-11	2.520d-02     7.267d-11       0.659	  9.4  2.369D-03  1.34
D sn115     1.290D-02     3.752D-11	1.290d-02     3.752d-11       0.339	  9.4  1.213D-03  2.54
D sn116     5.550D-01     1.628D-09	5.550d-01     1.628d-09      14.538	  9.4  5.217D-02  0.99
D sn117     2.930D-01     8.671D-10	2.930d-01     8.671d-10       7.672	  9.4  2.754D-02  1.50
D sn118     9.250D-01     2.761D-09	9.250d-01     2.761d-09      24.217	  9.4  8.695D-02  0.97
D sn119     3.280D-01     9.873D-10	3.280d-01     9.873d-10       8.587	  9.4  3.083D-02  19.03
D sn120     1.245D+00     3.779D-09	1.245d+00     3.779d-09      32.596	  9.4  1.170D-01  1.40
D sn122     1.770D-01     5.462D-10	1.770d-01     5.462d-10       4.632	  9.4  1.664D-02  25.0
D sn124     2.210D-01     6.932D-10	2.210d-01     6.932d-10       5.787	  9.4  2.077D-02  17.39
D sb121     1.770D-01     5.417D-10	1.770d-01     5.417d-10      57.362	 18.0  3.186D-02  3.0
D sb123     1.320D-01     4.107D-10	1.320d-01     4.107d-10      42.638	 18.0  2.376D-02  3.0  
D te120     4.300D-03     1.305D-11	4.300d-03     1.305d-11       0.09	 10.0  4.300D-04  50.
D te122     1.240D-01     3.827D-10	1.240d-01     3.827d-10       2.57	 10.0  1.240D-02  0.91
D te123     4.280D-02     1.332D-10	4.280d-02     1.332d-10       0.89	 10.0  4.280D-03  0.93
D te124     2.290D-01     7.183D-10	2.290d-01     7.183d-10       4.76	 10.0  2.290D-02  1.03
D te125     3.420D-01     1.081D-09	3.420d-01     1.081d-09       7.10	 10.0  3.420D-02  0.93
D te126     9.090D-01     2.897D-09	9.090d-01     2.897d-09      18.89	 10.0  9.090D-02  1.72
D te128     1.526D+00     4.941D-09	1.526d+00     4.941d-09      31.73	 10.0  1.526D-01  2.93
