 56 BA138    7.963133680e-25 
 56 BA139    1.000000000e-99 
 56 BA140    1.000000000e-99 
 56 BA141    1.000000000e-99 
 56 BA142    1.000000000e-99 
 57 LA127    7.076014998e-22 
 57 LA128    1.919707537e-20 
 57 LA129    1.357370251e-15 
 57 LA130    3.638976345e-16 
 57 LA131    7.687677491e-16 
 57 LA132    6.754302756e-18 
 57 LA133    1.480186372e-15 
 57 LA134    2.629846884e-18 
 57 LA135    1.160044026e-16 
 57 LA136    2.746900952e-19 
 57 LA137    4.656008364e-21 
 57 LA138    1.194600447e-24 
 57 LA139    1.318340015e-21 
 57 LA140    2.079806119e-38 
 57 LA141    1.000000000e-99 
 57 LA142    1.000000000e-99 
 57 LA143    1.000000000e-99 
 58 CE130    3.583562248e-14 
 58 CE131    4.626299478e-15 
 58 CE132    3.333718440e-13 
 58 CE133    4.085218621e-14 
 58 CE134    1.654952531e-13 
 58 CE135    1.300456559e-15 
 58 CE136    3.018026224e-11 
 58 CE137    2.243862717e-15 
 58 CE138    1.494623937e-15 
 58 CE139    8.415776904e-20 
 58 CE140    4.002632916e-19 
 58 CE141    2.733598203e-27 
 58 CE142    1.000000000e-99 
 58 CE143    1.000000000e-99 
 58 CE144    1.000000000e-99 
 58 CE145    1.000000000e-99 
 58 CE146    1.000000000e-99 
 59 PR133    2.952009400e-18 
 59 PR134    4.858509302e-19 
 59 PR135    1.632794431e-16 
 59 PR136    3.890832053e-18 
 59 PR137    1.896153820e-16 
 59 PR138    2.475477383e-18 
 59 PR139    8.411786140e-18 
 59 PR140    1.430094554e-19 
 59 PR141    1.913332351e-20 
 59 PR142    2.913861772e-26 
 59 PR143    1.000000000e-99 
 59 PR144    1.000000000e-99 
 59 PR145    1.000000000e-99 
 59 PR146    1.000000000e-99 
 59 PR147    1.000000000e-99 
 59 PR148    1.000000000e-99 
 59 PR149    1.000000000e-99 
 60 ND134    1.578866209e-16 
 60 ND135    3.823758019e-16 
 60 ND136    8.581536232e-15 
 60 ND137    6.403689666e-16 
 60 ND138    3.804347659e-14 
 60 ND139    5.020618015e-15 
 60 ND140    1.141238779e-12 
 60 ND141    1.958365007e-16 
 60 ND142    1.966373509e-16 
 60 ND143    3.440895857e-22 
 60 ND144    1.375876713e-26 
 60 ND145    1.000000000e-99 
 60 ND146    1.000000000e-99 
 60 ND147    1.000000000e-99 
 60 ND148    1.000000000e-99 
 60 ND149    1.000000000e-99 
 60 ND150    1.000000000e-99 
 60 ND151    1.000000000e-99 
 60 ND152    1.000000000e-99 
 61 PM137    1.848534099e-21 
 61 PM138    3.822896815e-19 
 61 PM139    2.759980293e-17 
 61 PM140    1.371438605e-16 
 61 PM141    1.305979201e-17 
 61 PM142    6.375819066e-19 
 61 PM143    6.597511352e-16 
 61 PM144    2.947598747e-21 
 61 PM145    2.575778602e-25 
 61 PM146    1.000000000e-99 
 61 PM147    1.000000000e-99 
 61 PM148    1.000000000e-99 
 61 PM149    1.000000000e-99 
 61 PM150    1.000000000e-99 
 61 PM151    1.000000000e-99 
 61 PM152    1.000000000e-99 
 61 PM153    1.000000000e-99 
 61 PM154    1.000000000e-99 
 62 SM140    1.974763756e-16 
 62 SM141    2.092556008e-15 
 62 SM142    2.836259986e-14 
 62 SM143    1.075446737e-14 
 62 SM144    2.806516922e-13 
 62 SM145    5.509205039e-19 
 62 SM146    1.465207705e-21 
 62 SM147    9.768311259e-27 
 62 SM148    2.629686798e-27 
 62 SM149    1.000000000e-99 
 62 SM150    1.000000000e-99 
 62 SM151    1.000000000e-99 
 62 SM152    1.000000000e-99 
 62 SM153    1.000000000e-99 
 62 SM154    1.000000000e-99 
 62 SM155    1.000000000e-99 
 62 SM156    1.000000000e-99 
 62 SM157    1.000000000e-99 
 62 SM158    1.000000000e-99 
 63 EU143    6.694828062e-22 
 63 EU144    2.294494063e-22 
 63 EU145    1.410328440e-19 
 63 EU146    2.648274860e-22 
 63 EU147    7.120600446e-22 
 63 EU148    1.102492272e-25 
 63 EU149    2.988892684e-24 
 63 EU150    1.000000000e-99 
 63 EU151    1.000000000e-99 
 63 EU152    1.000000000e-99 
 63 EU153    1.000000000e-99 
 63 EU154    1.000000000e-99 
 63 EU155    1.000000000e-99 
 63 EU156    1.000000000e-99 
 63 EU157    1.000000000e-99 
 63 EU158    1.000000000e-99 
 63 EU159    1.000000000e-99 
 64 GD144    1.882990740e-21 
 64 GD145    1.345104273e-18 
 64 GD146    6.705180864e-17 
 64 GD147    5.615070689e-20 
 64 GD148    7.522150878e-20 
 64 GD149    3.165041972e-21 
 64 GD150    2.497368906e-20 
 64 GD151    4.855381329e-25 
 64 GD152    2.426422440e-24 
 64 GD153    1.000000000e-99 
 64 GD154    1.000000000e-99 
 64 GD155    1.000000000e-99 
 64 GD156    1.000000000e-99 
 64 GD157    1.000000000e-99 
 64 GD158    1.000000000e-99 
 64 GD159    1.000000000e-99 
 64 GD160    1.000000000e-99 
 64 GD161    1.000000000e-99 
 64 GD162    1.000000000e-99 
 65 TB147    2.455187471e-24 
 65 TB148    1.635591160e-23 
 65 TB149    1.304401046e-20 
 65 TB150    1.406518908e-22 
 65 TB151    7.369779994e-21 
 65 TB152    2.787610527e-24 
 65 TB153    6.750028362e-22 
 65 TB154    5.035421735e-26 
 65 TB155    5.529218083e-26 
 65 TB156    1.000000000e-99 
 65 TB157    1.000000000e-99 
 65 TB158    1.000000000e-99 
 65 TB159    1.000000000e-99 
 65 TB160    1.000000000e-99 
 65 TB161    1.000000000e-99 
 65 TB162    1.000000000e-99 
 65 TB163    1.000000000e-99 
 65 TB164    1.000000000e-99 
 65 TB165    1.000000000e-99 
 66 DY148    4.028299395e-21 
 66 DY149    2.249680417e-22 
 66 DY150    5.523033395e-21 
 66 DY151    9.981742611e-21 
 66 DY152    4.681169631e-19 
 66 DY153    2.115514779e-20 
 66 DY154    7.498860438e-19 
 66 DY155    1.330184901e-21 
 66 DY156    4.361528977e-21 
 66 DY157    7.631622732e-25 
 66 DY158    2.011178908e-24 
 66 DY159    1.000000000e-99 
 66 DY160    1.000000000e-99 
 66 DY161    1.000000000e-99 
 66 DY162    1.000000000e-99 
 66 DY163    1.000000000e-99 
 66 DY164    1.000000000e-99 
 66 DY165    1.000000000e-99 
 66 DY166    1.000000000e-99 
 66 DY167    1.000000000e-99 
 66 DY168    1.000000000e-99 
 67 HO153    2.276595480e-23 
 67 HO154    3.506487580e-20 
 67 HO155    3.556205280e-19 
 67 HO156    1.535905314e-22 
 67 HO157    3.609197202e-20 
 67 HO158    2.307094841e-24 
 67 HO159    8.740348169e-23 
 67 HO160    4.288927296e-27 
 67 HO161    6.721164955e-27 
 67 HO162    1.000000000e-99 
 67 HO163    1.000000000e-99 
 67 HO164    1.000000000e-99 
 67 HO165    1.000000000e-99 
 67 HO166    1.000000000e-99 
 67 HO167    1.000000000e-99 
 67 HO168    1.000000000e-99 
 67 HO169    1.000000000e-99 
 68 ER154    1.573757329e-20 
 68 ER155    6.197788543e-20 
 68 ER156    8.950571074e-18 
 68 ER157    2.839232266e-20 
 68 ER158    5.827107699e-19 
 68 ER159    1.586722929e-18 
