H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod      281 dzeit  1.25E+01 agej  4.7207E+04
 # t9 =    8.225E-01 rho =    1.357E+06
 # densn  1.02902E+04
 # densp  4.61071E+07
 # densa  2.61765E+13
 # total_energy_flux_[erg/(g*s)]  0.00000E+00
  369    43.  94.   1   1.00000E-99  TC 94
  370    43.  95.   1   1.15465E-23  TC 95
  371    43.  96.   1   2.47786E-26  TC 96
  372    43.  97.   1   6.54479E-21  TC 97
  373    43.  98.   1   2.64135E-24  TC 98
  374    43.  99.   1   5.78925E-15  TC 99
  375    43. 100.   1   2.30300E-25  TC100
  376    43. 101.   1   3.34687E-24  TC101
  377    43. 102.   1   1.00000E-99  TC102
  378    43. 103.   1   1.00000E-99  TC103
  379    43. 104.   1   1.00000E-99  TC104
  380    43. 105.   1   1.00000E-99  TC105
  381    44.  94.   1   1.00000E-99  RU 94
  382    44.  95.   1   1.00000E-99  RU 95
  383    44.  96.   1   8.08916E-18  RU 96
  384    44.  97.   1   2.34269E-23  RU 97
  385    44.  98.   1   2.67788E-16  RU 98
  386    44.  99.   1   6.09241E-10  RU 99
  387    44. 100.   1   1.50162E-09  RU100
  388    44. 101.   1   3.30303E-10  RU101
  389    44. 102.   1   2.13445E-09  RU102
  390    44. 103.   1   9.62367E-17  RU103
  391    44. 104.   1   5.95056E-13  RU104
  392    44. 105.   1   1.54902E-21  RU105
  393    44. 106.   1   3.49659E-27  RU106
  394    45.  98.   1   1.00000E-99  RH 98
  395    45.  99.   1   1.00000E-99  RH 99
  396    45. 100.   1   8.13957E-27  RH100
  397    45. 101.   1   3.47451E-23  RH101
  398    45. 102.   1   5.87221E-22  RH102
  399    45. 103.   1   3.42161E-10  RH103
  400    45. 104.   1   1.29280E-19  RH104
  401    45. 105.   1   4.45776E-20  RH105
  402    45. 106.   1   1.00000E-99  RH106
  403    45. 107.   1   1.00000E-99  RH107
  404    45. 108.   1   1.00000E-99  RH108
  405    46.  99.   1   1.00000E-99  PD 99
  406    46. 100.   1   1.00000E-99  PD100
  407    46. 101.   1   1.00000E-99  PD101
  408    46. 102.   1   3.65075E-21  PD102
  409    46. 103.   1   4.71430E-25  PD103
  410    46. 104.   1   1.02076E-09  PD104
  411    46. 105.   1   2.32608E-10  PD105
  412    46. 106.   1   1.20914E-09  PD106
  413    46. 107.   1   3.95535E-12  PD107
  414    46. 108.   1   6.10636E-11  PD108
  415    46. 109.   1   1.92192E-18  PD109
  416    46. 110.   1   4.16072E-13  PD110
  417    46. 111.   1   3.09950E-22  PD111
  418    46. 112.   1   1.00000E-99  PD112
  419    47. 101.   1   1.00000E-99  AG101
  420    47. 102.   1   1.00000E-99  AG102
  421    47. 103.   1   1.00000E-99  AG103
  422    47. 104.   1   1.00000E-99  AG104
  423    47. 105.   1   1.62341E-25  AG105
  424    47. 106.   1   1.00000E-99  AG106
  425    47. 107.   1   3.08806E-10  AG107
  426    47. 108.   1   4.42724E-19  AG108
  427    47. 109.   1   7.59604E-10  AG109
  428    47. 110.   1   9.86793E-20  AG110
  429    47. 111.   1   6.86195E-21  AG111
  430    47. 112.   1   1.00000E-99  AG112
  431    47. 113.   1   1.00000E-99  AG113
  432    48. 102.   1   1.00000E-99  CD102
  433    48. 103.   1   1.00000E-99  CD103
  434    48. 104.   1   1.00000E-99  CD104
  435    48. 105.   1   1.00000E-99  CD105
  436    48. 106.   1   2.29778E-21  CD106
  437    48. 107.   1   1.00000E-99  CD107
  438    48. 108.   1   1.36108E-09  CD108
  439    48. 109.   1   1.11585E-13  CD109
  440    48. 110.   1   1.19001E-09  CD110
  441    48. 111.   1   3.59829E-10  CD111
  442    48. 112.   1   1.47574E-09  CD112
  443    48. 113.   1   4.44448E-15  CD113
  444    48. 114.   1   9.28922E-12  CD114
  445    48. 115.   1   5.12013E-19  CD115
  446    48. 116.   1   1.14948E-13  CD116
  447    48. 117.   1   2.73027E-22  CD117
  448    48. 118.   1   1.00000E-99  CD118
  449    49. 106.   1   1.00000E-99  IN106
  450    49. 107.   1   1.00000E-99  IN107
  451    49. 108.   1   1.00000E-99  IN108
  452    49. 109.   1   1.00000E-99  IN109
  453    49. 110.   1   1.00000E-99  IN110
  454    49. 111.   1   3.93254E-27  IN111
  455    49. 112.   1   1.21633E-22  IN112
  456    49. 113.   1   3.79098E-10  IN113
  457    49. 114.   1   1.03161E-19  IN114
  458    49. 115.   1   8.79724E-16  IN115
  459    49. 116.   1   6.17657E-26  IN116
  460    49. 117.   1   8.06915E-23  IN117
  461    49. 118.   1   1.00000E-99  IN118
  462    49. 119.   1   1.00000E-99  IN119
  463    50. 108.   1   1.00000E-99  SN108
  464    50. 109.   1   1.00000E-99  SN109
  465    50. 110.   1   1.00000E-99  SN110
  466    50. 111.   1   1.00000E-99  SN111
  467    50. 112.   1   1.73392E-18  SN112
  468    50. 113.   1   4.44348E-25  SN113
  469    50. 114.   1   2.01613E-09  SN114
  470    50. 115.   1   7.77834E-10  SN115
  471    50. 116.   1   2.78368E-09  SN116
  472    50. 117.   1   8.90231E-10  SN117
  473    50. 118.   1   4.36583E-09  SN118
  474    50. 119.   1   1.31386E-09  SN119
  475    50. 120.   1   7.02716E-09  SN120
  476    50. 121.   1   3.83919E-16  SN121
  477    50. 122.   1   7.46206E-11  SN122
  478    50. 123.   1   6.32653E-20  SN123
  479    50. 124.   1   1.59129E-10  SN124
  480    50. 125.   1   1.74048E-20  SN125
  481    50. 126.   1   1.35043E-17  SN126
  482    50. 127.   1   1.00000E-99  SN127
  483    50. 128.   1   1.00000E-99  SN128
  484    50. 129.   1   1.00000E-99  SN129
  485    50. 130.   1   1.00000E-99  SN130
  486    51. 112.   1   1.00000E-99  SB112
  487    51. 113.   1   1.00000E-99  SB113
  488    51. 114.   1   1.00000E-99  SB114
  489    51. 115.   1   1.00000E-99  SB115
  490    51. 116.   1   1.00000E-99  SB116
  491    51. 117.   1   1.00000E-99  SB117
  492    51. 118.   1   1.00000E-99  SB118
  493    51. 119.   1   3.05420E-27  SB119
  494    51. 120.   1   1.28618E-22  SB120
  495    51. 121.   1   5.34272E-10  SB121
  496    51. 122.   1   1.16332E-17  SB122
  497    51. 123.   1   8.95517E-10  SB123
  498    51. 124.   1   7.43386E-19  SB124
  499    51. 125.   1   7.49733E-18  SB125
  500    51. 126.   1   5.25676E-25  SB126
  501    51. 127.   1   8.31060E-26  SB127
  502    51. 128.   1   1.00000E-99  SB128
  503    51. 129.   1   1.00000E-99  SB129
  504    51. 130.   1   1.00000E-99  SB130
  505    51. 131.   1   1.00000E-99  SB131
  506    51. 132.   1   1.00000E-99  SB132
  507    51. 133.   1   1.00000E-99  SB133
  508    52. 114.   1   1.00000E-99  TE114
  509    52. 115.   1   1.00000E-99  TE115
  510    52. 116.   1   1.00000E-99  TE116
  511    52. 117.   1   1.00000E-99  TE117
  512    52. 118.   1   1.00000E-99  TE118
  513    52. 119.   1   1.00000E-99  TE119
  514    52. 120.   1   5.65482E-22  TE120
  515    52. 121.   1   6.08505E-27  TE121
  516    52. 122.   1   8.95013E-10  TE122
  517    52. 123.   1   2.11180E-12  TE123
  518    52. 124.   1   1.56692E-09  TE124
  519    52. 125.   1   4.99311E-10  TE125
  520    52. 126.   1   3.23755E-09  TE126
  521    52. 127.   1   6.83254E-17  TE127
  522    52. 128.   1   3.52141E-11  TE128
  523    52. 129.   1   4.41851E-20  TE129
  524    52. 130.   1   6.27875E-10  TE130
  525    52. 131.   1   6.59292E-20  TE131
  526    52. 132.   1   1.42318E-27  TE132
  527    52. 133.   1   1.00000E-99  TE133
  528    52. 134.   1   1.00000E-99  TE134
  529    53. 117.   1   1.00000E-99  I 117
  530    53. 118.   1   1.00000E-99  I 118
  531    53. 119.   1   1.00000E-99  I 119
  532    53. 120.   1   1.00000E-99  I 120
  533    53. 121.   1   1.00000E-99  I 121
  534    53. 122.   1   1.00000E-99  I 122
  535    53. 123.   1   1.00000E-99  I 123
  536    53. 124.   1   1.00000E-99  I 124
  537    53. 125.   1   1.77087E-25  I 125
  538    53. 126.   1   1.00000E-99  I 126
  539    53. 127.   1   4.65381E-10  I 127
  540    53. 128.   1   4.89602E-18  I 128
  541    53. 129.   1   5.63947E-17  I 129
  542    53. 130.   1   1.49720E-17  I 130
  543    53. 131.   1   2.06524E-18  I 131
  544    53. 132.   1   1.94475E-27  I 132
  545    53. 133.   1   1.00000E-99  I 133
  546    53. 134.   1   1.00000E-99  I 134
  547    53. 135.   1   1.00000E-99  I 135
  548    54. 118.   1   1.00000E-99  XE118
  549    54. 119.   1   1.00000E-99  XE119
  550    54. 120.   1   1.00000E-99  XE120
  551    54. 121.   1   1.00000E-99  XE121
  552    54. 122.   1   1.00000E-99  XE122
  553    54. 123.   1   1.00000E-99  XE123
  554    54. 124.   1   1.00000E-99  XE124
  555    54. 125.   1   1.00000E-99  XE125
  556    54. 126.   1   1.67850E-22  XE126
  557    54. 127.   1   9.65357E-27  XE127
  558    54. 128.   1   9.68551E-10  XE128
  559    54. 129.   1   4.00823E-10  XE129
  560    54. 130.   1   2.01254E-09  XE130
